IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.49.246,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,46,8.79
8.218.136.25,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,58,8.77
47.243.206.150,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,39,8.74
47.243.60.150,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,83,8.73
8.218.222.36,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,40,8.71
8.217.127.73,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,40,8.7
8.218.22.210,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,34,8.67
8.210.34.188,80,80,FALSE,HK,Asia Pacific,Hong Kong,36,8.65
8.219.240.160,2086,2086,FALSE,SG,Asia Pacific,Singapore,21,8.79
8.219.222.98,2087,2087,TRUE,SG,Asia Pacific,Singapore,68,8.78
8.222.237.131,2095,2095,FALSE,SG,Asia Pacific,Singapore,11,8.77
8.219.201.8,2087,2087,TRUE,SG,Asia Pacific,Singapore,55,8.76
47.236.10.182,2087,2087,TRUE,SG,Asia Pacific,Singapore,84,8.75
47.237.100.206,2052,2052,FALSE,SG,Asia Pacific,Singapore,18,8.75
47.236.121.23,8443,8443,TRUE,SG,Asia Pacific,Singapore,104,8.74
47.236.150.13,8880,8880,FALSE,SG,Asia Pacific,Singapore,52,8.73
8.219.153.237,80,80,FALSE,JP,Asia Pacific,Tokyo,89,8.65
8.219.66.156,2083,2083,TRUE,JP,Asia Pacific,Tokyo,121,7.56
47.236.125.62,2087,2087,TRUE,JP,Asia Pacific,Tokyo,128,8.28
8.219.153.237,2083,2083,TRUE,JP,Asia Pacific,Tokyo,138,6.9
47.236.125.62,2095,2095,FALSE,JP,Asia Pacific,Tokyo,80,6.9
8.219.66.156,2087,2087,TRUE,JP,Asia Pacific,Tokyo,159,6.2
104.19.75.79,443,443,TRUE,US,North America,San Jose,475,7.36
47.251.74.226,80,80,FALSE,US,North America,Los Angeles,172,7.55
172.64.141.180,443,443,TRUE,US,North America,Los Angeles,170,7.11
8.209.99.166,443,443,TRUE,DE,Europe,Frankfurt,253,6.23
8.209.67.255,443,443,TRUE,DE,Europe,Frankfurt,264,6.21
8.211.13.91,443,443,TRUE,DE,Europe,Frankfurt,253,6.21
8.209.103.144,443,443,TRUE,DE,Europe,Frankfurt,259,6
47.91.75.10,443,443,TRUE,DE,Europe,Frankfurt,274,5.74
47.254.146.111,443,443,TRUE,DE,Europe,Frankfurt,250,5.73
47.91.75.33,443,443,TRUE,DE,Europe,Frankfurt,253,5.61
47.254.144.218,443,443,TRUE,DE,Europe,Frankfurt,250,5.57
